Date,africa,asia,antarctica,atlantic,arctic,australia,europe,indian-ocean,north-america,pacific,south-america
1914-02-25,false,false,true,true,false,false,false,true,false,true,true
1916-12-24,false,false,true,false,false,false,false,false,false,false,false
1917-12-14,false,false,true,true,false,true,false,true,false,true,true
1920-05-18,false,false,true,false,false,true,false,true,false,false,false
1921-10-1,false,false,true,true,false,false,false,true,false,true,true
1924-07-31,false,false,true,false,false,false,false,false,false,true,false
1925-07-20,false,false,true,false,false,true,false,false,false,true,false
1927-01-3,false,false,true,true,false,true,false,true,false,true,true
1927-12-24,false,false,true,true,false,false,false,true,false,true,false
1930-10-21,false,false,true,true,false,true,false,false,false,true,true
1931-10-11,false,false,true,true,false,false,false,false,false,true,true
1935-07-30,false,false,true,true,false,false,false,true,false,false,false
1935-12-25,false,false,true,true,false,false,false,true,false,true,true
1939-10-12,false,false,true,true,false,true,false,false,false,true,true
1941-03-27,false,false,true,true,false,false,false,false,true,true,true
1942-03-16,false,false,true,false,false,false,false,false,false,true,false
1942-08-12,false,false,true,false,false,false,false,true,false,false,false
1946-01-3,false,false,true,true,false,false,false,true,false,true,true
1949-10-21,false,false,true,true,false,true,false,true,false,true,false
1951-03-7,false,false,true,true,false,false,false,false,true,true,true
1952-08-20,false,false,true,true,false,false,false,false,true,true,true
1953-08-9,false,false,true,true,false,false,false,false,false,true,true
1954-01-5,false,false,true,true,false,false,false,true,false,true,false
1958-10-12,false,false,true,true,false,true,false,false,false,true,true
1960-03-27,false,false,true,true,false,true,false,true,false,true,false
1964-01-14,false,false,true,true,false,true,false,true,false,true,true
1968-03-28,false,false,true,false,false,false,false,false,false,true,true
1970-08-31,false,false,true,false,false,true,false,false,false,true,false
1971-08-20,false,false,true,false,false,true,false,false,false,true,false
1972-01-16,false,false,true,true,false,false,false,true,false,true,true
1975-11-3,false,false,true,true,false,false,false,true,false,true,true
1979-08-22,false,false,true,true,false,false,false,false,false,true,true
1981-02-4,false,false,true,true,false,true,false,true,false,true,true
1982-01-25,false,false,true,true,false,false,false,true,false,true,false
1985-11-12,false,false,true,true,false,false,false,true,false,true,true
1990-01-26,false,false,true,true,false,false,false,false,false,true,true
1993-11-13,false,false,true,true,false,true,false,true,false,true,true
1996-04-17,false,false,true,false,false,false,false,false,false,true,false
2000-02-5,false,false,true,true,false,false,false,true,false,true,false
2005-04-8,false,false,true,true,false,false,false,false,true,true,true
2007-09-11,false,false,true,true,false,false,false,false,false,true,true
2008-02-7,false,false,true,true,false,true,false,true,false,true,false
2018-02-15,false,false,true,true,false,false,false,false,false,true,true
1908-01-3,false,false,false,true,false,true,false,false,true,true,true
1911-04-28,false,false,false,true,false,true,false,false,true,true,true
1913-08-31,false,false,false,true,true,false,false,false,true,false,false
1935-02-3,false,false,false,true,false,false,false,false,true,true,false
1937-06-8,false,false,false,true,false,false,false,false,true,true,true
1940-04-7,false,false,false,true,false,false,false,false,true,true,true
1946-11-23,false,false,false,true,false,false,false,false,true,false,true
1947-11-12,false,false,false,true,false,false,false,false,true,true,true
1970-03-7,false,false,false,true,true,false,true,false,true,true,true
1974-12-13,false,false,false,true,false,false,true,false,true,true,true
1979-02-26,false,false,false,true,true,false,true,false,true,true,false
1980-08-10,false,false,false,true,false,false,false,false,true,true,true
1991-07-11,false,false,false,true,false,false,false,false,true,true,true
2000-12-25,false,false,false,true,false,false,false,false,true,true,true
2001-12-14,false,false,false,true,false,false,false,false,true,true,true
2011-07-1,false,false,false,true,false,false,false,true,false,false,false
1902-04-8,false,false,false,false,true,false,false,false,true,false,false
1946-06-29,false,false,false,false,true,false,true,false,true,false,false
1953-07-11,false,false,false,false,true,false,false,false,true,false,false
1964-06-10,false,false,false,false,false,true,false,true,false,true,false
2018-07-13,false,false,false,false,false,true,false,true,false,true,false
1928-06-17,false,false,false,false,false,false,true,false,false,false,false
1917-07-19,false,false,false,false,false,false,false,true,false,false,false
1965-05-30,false,false,false,false,false,false,false,false,true,true,true
2019-07-2,false,false,false,false,false,false,false,false,true,true,true
1904-09-9,false,false,false,false,false,false,false,false,false,true,true
1946-05-30,false,false,false,false,false,false,false,false,false,true,true
1956-06-8,false,false,false,false,false,false,false,false,false,true,false
2000-07-1,false,false,false,false,false,false,false,false,false,true,true
2010-07-11,false,false,false,false,false,false,false,false,false,true,true
